title,author
Damaged,H.M. Ward
Rabbit Is Rich,John Updike
The Midwife's Apprentice,Karen Cushman
The Weight of Silence,Heather Gudenkauf
The Renegades of Pern,Anne McCaffrey
The Last Man,Vince Flynn
Underground Airlines,Ben H. Winters
The Target,David Baldacci
Ella Enchanted,Gail Carson Levine
Look Again,Lisa Scottoline
Fifty Shades Freed,E.L. James
Festive in Death,J.D. Robb
Perfect,Natasha Friend
Tris's Book,Tamora Pierce
A Farewell to Arms,Ernest Hemingway
The Bad Place,Dean Koontz
Wicked Ties,Shayla Black
Ptolemy's Gate,Jonathan Stroud
Seriously...I'm Kidding,Ellen DeGeneres
Dare You To,Katie McGarry
Into the Wild,Jon Krakauer
Swamplandia!,Karen Russell
Beautiful Redemption,Jamie McGuire
The Book of Speculation,Erika Swyler
The Secret Place,Tana French
One With You,Sylvia Day
Destroy Me,Tahereh Mafi
The Scorch Trials,James Dashner
Transfer of Power,Vince Flynn
Entwined,Heather Dixon
Last Chance Saloon,Marian Keyes
The Power of Six,Pittacus Lore
Avalon High,Meg Cabot
Death at La Fenice,Donna Leon
The Cardinal of the Kremlin,Tom Clancy
Scarecrow,Matthew Reilly
Soul Music,Terry Pratchett
Enduring Love,Ian McEwan
Where the Heart Is,Billie Letts
Mile 81,Stephen King
The Last Runaway,Tracy Chevalier
Sold,Patricia McCormick
The Mummy,Anne Rice
Summer of Night,Dan Simmons
Bastard Out of Carolina,Dorothy Allison
Love wins,Rob Bell
The Black Circle,Patrick Carman
Incendiary,Chris Cleave
Long Lost,Harlan Coben
Mister Monday,Garth Nix
My Cousin Rachel,Daphne du Maurier
"Stormy, Misty's Foal",Marguerite Henry
Crash Into You,Katie McGarry
A Single Shard,Linda Sue Park
Afterburn,Sylvia Day
The Jefferson Key,Steve Berry
Blood of Dragons,Robin Hobb
My Life Next Door ,Huntley Fitzpatrick
Hostage to Pleasure,Nalini Singh
The Temporal Void,Peter F. Hamilton
The Crow Road,Iain Banks
The Subterraneans,Jack Kerouac
Peony in Love,Lisa See
The Face Of Deception,Iris Johansen
Eye of the Storm,Jack Higgins
Chesapeake,James A. Michener
Tales from Earthsea,Ursula K. Le Guin
"Darkness, Take My Hand",Dennis Lehane
Murder at the Vicarage,Agatha Christie
Maskerade,Terry Pratchett
Ascend,Amanda Hocking
Tourist Season,Carl Hiaasen
The Diamond of Darkhold,Jeanne DuPrau
A Court of Wings and Ruin,Sarah J. Maas
This Is Where It Ends,Marieke Nijkamp
Almost Heaven,Judith McNaught
Dawn on a Distant Shore,Sara Donati
The Dice Man,Luke Rhinehart
Conspiracy in Death,J.D. Robb
Peter Pan,"J.M. Barrie, Michael Hague"
Reflected in You,Sylvia Day
The Innocent,Harlan Coben
Dark Star Safari ,Paul Theroux
Cold Fire,Dean Koontz
The Martian Chronicles,Ray Bradbury
Anyone But You ,Jennifer Crusie
The Maze Runner,James Dashner
White Oleander,Janet Fitch
Dark Days,Derek Landy
Star Island,Carl Hiaasen
Wings ,Aprilynne Pike
The ABC Murders,Agatha Christie
Green,Ted Dekker
The Lions of Al-Rassan,Guy Gavriel Kay
S.,"J.J. Abrams, Doug Dorst"
The Buddha in the Attic,Julie Otsuka
The Bonehunters,Steven Erikson
Suffer the Children,John Saul
Summer and the City,Candace Bushnell
Sugar and Spice,Lauren Conrad
Shopgirl: A Novella,Steve Martin
Thoughtless,S.C. Stephens
Grave Witch,Kalayna Price
Ancillary Sword,Ann Leckie
The Goldfinch,Donna Tartt
Certain Prey,John Sandford
Don't You Cry,Mary Kubica
Wielding a Red Sword,Piers Anthony
The Hundred Secret Senses,Amy Tan
Once Upon a Marigold,Jean Ferris
Drowning Ruth,Christina Schwarz
Bayou Moon,Ilona Andrews
The Stranger Beside Me,Ann Rule
Dead Until Dark,Charlaine Harris
Goldfinger,Ian Fleming
Thirteen Moons,Charles Frazier
Just One Day,Gayle Forman
Cocktails for Three,Madeleine Wickham
Home,Toni Morrison
For One More Day,Mitch Albom
Roots,Alex Haley
On Basilisk Station ,David Weber
Mort,Terry Pratchett
An Officer and a Spy,Robert   Harris
The Ghost Road,Pat Barker
Once,Morris Gleitzman
Fingersmith,Sarah Waters
Inkheart,Cornelia Funke
Indemnity Only,Sara Paretsky
The Path of Daggers,Robert Jordan
The Death of Bees,Lisa O'Donnell
Ruin and Rising,Leigh Bardugo
Dr. No,Ian Fleming
Consequences,Aleatha Romig
Winter Garden,Kristin Hannah
Vanish,Tess Gerritsen
Prince of the Blood,Raymond E. Feist
Blueberries for Sal,Robert McCloskey
Nothing to Lose,Lee Child
Me Before You,Jojo Moyes
Just for You,Mercer Mayer
Ghost Story,Peter Straub
All Over But the Shoutin',Rick Bragg
Love That Dog,Sharon Creech
The Jewel,Amy Ewing
The Historian,Elizabeth Kostova
The Dead-Tossed Waves ,Carrie Ryan
The Amateur Marriage,Anne Tyler
Garden of Shadows,V.C. Andrews
Ape House,Sara Gruen
The Abstinence Teacher,Tom Perrotta
The Light in the Ruins,Chris Bohjalian
The Darkest Surrender,Gena Showalter
Needful Things,Stephen King
The Last Picture Show,Larry McMurtry
Glengarry Glen Ross,David Mamet
The English Girl,Daniel Silva
The Lake House,James Patterson
Every Dead Thing,John Connolly
The Descendants,Kaui Hart Hemmings
Swimmy ,Leo Lionni
Rules Of Prey,John Sandford
The Lies of Locke Lamora,Scott Lynch
Dreams of a Dark Warrior,Kresley Cole
The Lion & the Mouse,Jerry Pinkney
Wide Sargasso Sea,Jean Rhys
The Children of Men,P.D. James
The Rose Society,Marie Lu
Five Go Adventuring Again,Enid Blyton
Out of the Silent Planet,C.S. Lewis
The Naked God ,Peter F. Hamilton
The Gift,Danielle Steel
JPod,Douglas Coupland
Twilight,Stephenie Meyer
Lenobia's Vow,"P.C. Cast, Kristin Cast"
Ice Cold,Tess Gerritsen
Agent to the stars,John Scalzi
Blackmoore,Julianne Donaldson
Paths of Glory,Jeffrey Archer
Shutter Island,Dennis Lehane
The Valley of Horses,Jean M. Auel
The Third Option,Vince Flynn
Messenger of Truth,Jacqueline Winspear
The Third Victim,Lisa Gardner
Illusions,Aprilynne Pike
The Lost World,Michael Crichton
Never Fade,Alexandra Bracken
Bad Moon Rising,Sherrilyn Kenyon
Stay Hungry Stay Foolish,Rashmi Bansal
The Other Woman,Jane Green
Eclipse,Stephenie Meyer
The Last Werewolf,Glen Duncan
The Luxe,Anna Godbersen
Out to Canaan (Mitford),Jan Karon
When He was Wicked,Julia Quinn
Shattered,Kevin Hearne
Vampire Kisses,Ellen Schreiber
Pushing Ice,Alastair Reynolds
The Collectors,David Baldacci
Secrets to the Grave,Tami Hoag
Shadowland,Meg Cabot
Remarkable Creatures,Tracy Chevalier
Etiquette & Espionage,Gail Carriger
Nine Princes in Amber,Roger Zelazny
Reaper's Gale,Steven Erikson
The Road to Character,David  Brooks
Guilty Pleasures,Laurell K. Hamilton
Things Fall Apart,Chinua Achebe
Hot Six,Janet Evanovich
Someone Like You,Sarah Dessen
The Black Echo,Michael Connelly
Such a Pretty Girl,Laura Wiess
Purity in Death,J.D. Robb
The Tea Rose,Jennifer Donnelly
Heretic,Bernard Cornwell
Living Dead in Dallas,Charlaine Harris
The Heroes,Joe Abercrombie
Naked,David Sedaris
El Deafo,"Cece Bell, David Lasky"
Crystal Singer,Anne McCaffrey
Dog on It,Spencer Quinn
Twelfth Grade Kills,Heather Brewer
The Forgetting Time,Sharon Guskin
Till We Have Faces,C.S. Lewis
The Legend of Luke,Brian Jacques
H is for Hawk,Helen Macdonald
The Algebraist,Iain M. Banks
Princess on the Brink,Meg Cabot
When It Happens,Susane Colasanti
Under the Volcano,Malcolm Lowry
King & Maxwell,David Baldacci
The Prophet,Kahlil Gibran
Boomerang,Tatiana de Rosnay
The Siege of Macindaw,John Flanagan
We Were the Mulvaneys,Joyce Carol Oates
Finally,Wendy Mass
Dark Gold (Dark #3),Christine Feehan
This Lullaby,Sarah Dessen
Rules of Attraction,Simone Elkeles
The Bourne Ultimatum,Robert Ludlum
The Nanny,Melissa Nathan
The Demon King,Cinda Williams Chima
Merrick,Anne Rice
Midnight Crossroad,Charlaine Harris
The Maze of Bones ,Rick Riordan
The Obsession,Nora Roberts
The Post-Birthday World ,Lionel Shriver
QB VII,Leon Uris
Silence ,Becca Fitzpatrick
Say You're One of Them,Uwem Akpan
The Sparrow,Mary Doria Russell
The Dark Divine,Bree Despain
RoomHate,Penelope Ward
Takedown Twenty,Janet Evanovich
The Alibi,Sandra Brown
From Head to Toe,Eric Carle
Until I Die,Amy Plum
Unseen Academicals,Terry Pratchett
The First World War,John Keegan
Savannah Breeze,Mary Kay Andrews
A Bad Case of Stripes,David Shannon
Catering to Nobody,Diane Mott Davidson
City of Stairs,Robert Jackson Bennett
The Big Four,Agatha Christie
Disgrace,J.M. Coetzee
"Night World, No. 1",L.J. Smith
The Eye of Minds,James Dashner
The Gods of Guilt,Michael Connelly
Furies of Calderon ,Jim Butcher
Sanctuary,Nora Roberts
The Call of the Wild,Jack London
Between Sisters,Kristin Hannah
The North Water,Ian McGuire
From a Buick 8,Stephen King
Small Gods,Terry Pratchett
The Rosie Effect,Graeme Simsion
The Way to Cook,Julia Child
The Far Pavilions,M.M. Kaye
Silent in the Grave,Deanna Raybourn
An Old-Fashioned Girl,Louisa May Alcott
All My Puny Sorrows,Miriam Toews
The Stepford Wives,Ira Levin
The Mermaids Singing ,Val McDermid
Tipping the Velvet,Sarah Waters
Grave Secrets,Kathy Reichs
Player Piano,Kurt Vonnegut Jr.
Chasing The Night,Iris Johansen
Please Ignore Vera Dietz,A.S. King
Le Mur,Jean-Paul Sartre
The Wise Man's Fear,Patrick Rothfuss
The Winter King,Bernard Cornwell
Variant,Robison Wells
The Abolition of Man,C.S. Lewis
Cathedral,Raymond Carver
Ghostwritten,David Mitchell
Finger Lickin' Fifteen,Janet Evanovich
Cat's Eye,Margaret Atwood
Out of My Mind,Sharon M. Draper
You Belong to Me,Mary Higgins Clark
The Husband,Dean Koontz
The Thin Man,Dashiell Hammett
August: Osage County,Tracy Letts
Just the Sexiest Man Alive,Julie James
Boy Meets Boy,David Levithan
The Railway Children,E. Nesbit
Shadow & Claw,Gene Wolfe
Mona Lisa Overdrive,William Gibson
Turn of Mind,Alice LaPlante
The Untethered Soul,Michael A. Singer
Clear and Present Danger,Tom Clancy
Choke,Chuck Palahniuk
Q & A: Slumdog Millionaire,Vikas Swarup
Jazz,Toni Morrison
Heart of the Matter,Emily Giffin
Running with the Demon,Terry Brooks
Dark Witch,Nora Roberts
The Winter's Tale,William Shakespeare
Certain Girls,Jennifer Weiner
Flotsam,David Wiesner
"Moo, Baa, La La La!",Sandra Boynton
The Cobra Event,Richard   Preston
Inversions,Iain M. Banks
Unearthly,Cynthia Hand
I Can Read with My Eyes Shut!,Dr. Seuss
Lucky Man,Michael J. Fox
The Darkest Whisper,Gena Showalter
The Shepherd's Crown,Terry Pratchett
No Logo,Naomi Klein
Smoke Screen,Sandra Brown
More Tales of the City,Armistead Maupin
The Omen,David Seltzer
The Best Laid Plans,Sidney Sheldon
Awakened,"P.C. Cast, Kristin Cast"
Black Hills,Nora Roberts
The Foundation Trilogy,Isaac Asimov
Heartstone,C.J. Sansom
Feverborn,Karen Marie Moning
Evermore,Alyson Noel
The Crying of Lot 49,Thomas Pynchon
The Ruby Knight,David Eddings
The Healer,Dee Henderson
Naked in Death,J.D. Robb
The Next Accident,Lisa Gardner
Every Soul A Star,Wendy Mass
The Sugar Queen,Sarah Addison Allen
Flesh and Blood,Patricia Cornwell
Faith,Jennifer Haigh
TransAtlantic,Colum McCann
The Forgotten,David Baldacci
A Grief Observed,C.S. Lewis
Hope Was Here,Joan Bauer
Dead Witch Walking,Kim Harrison
The Shipping News,Annie Proulx
West with the Night,Beryl Markham
Brilliance of the Moon ,Lian Hearn
Hidden Order,Brad Thor
Kon-Tiki Ekspedisjonen,Thor Heyerdahl
The Gun Seller,Hugh Laurie
A Dangerous Fortune,Ken Follett
"Glass (Crank, #2)",Ellen Hopkins
Twisted,Sara Shepard
The Good Father,Diane Chamberlain
Little Mercies,Heather Gudenkauf
Dubliners,"James Joyce, Jeri Johnson"
Dark Magic,Christine Feehan
A Town Like Alice,Nevil Shute
The False Prince,Jennifer A. Nielsen
Chill Factor,Sandra Brown
Porno,Irvine Welsh
Scarpetta,Patricia Cornwell
Lord Foul's Bane,Stephen R. Donaldson
Iceberg,Clive Cussler
Here be Dragons,Sharon Kay Penman
The Faceless Ones,Derek Landy
The Narrows,Michael Connelly
Nine Dragons,Michael Connelly
Mother Night,Kurt Vonnegut Jr.
Rock Hard,Olivia Cunning
The Teeth of the Tiger,Tom Clancy
Crewel,Gennifer Albin
The Famished Road,Ben Okri
Trace,Patricia Cornwell
The Collector,John Fowles
Shadow's Edge,Brent Weeks
The Sentry,Robert Crais
Family Pictures,Jane Green
Plenty,Yotam Ottolenghi
The Shock of the Fall,Nathan Filer
Dream Man,Linda Howard
The Daughter of Time,Josephine Tey
Going Postal,Terry Pratchett
This is Not My Hat,Jon Klassen
Too Good To Be True,Kristan Higgins
Lock and Key,Sarah Dessen
The Shadow Rising ,Robert Jordan
Six Years,Harlan Coben
Winter's Tale,Mark Helprin
Colonel Roosevelt,Edmund Morris
Inside Out,Maria V. Snyder
Pride and Prejudice,Jane Austen
Crazy Rich Asians,Kevin Kwan
A Feast for Crows,George R.R. Martin
Burn For Me,Ilona Andrews
Single White Vampire,Lynsay Sands
A Prayer for Owen Meany,John Irving
The Problem of Pain,C.S. Lewis
On the Road,Jack Kerouac
The Widow of the South,Robert Hicks
Schooled,Gordon Korman
Sense & Sensibility,Joanna Trollope
Soumission ,Michel Houellebecq
One Thousand Gifts,Ann Voskamp
"Go, Dog. Go!",P.D. Eastman
The Road to Serfdom,Friedrich A. Hayek
The Stone Diaries,Carol Shields
Manual do guerreiro da luz,Paulo Coelho
Body of Evidence ,Patricia Cornwell
Vinegar Girl,Anne Tyler
King of Thorns,Mark  Lawrence
Star Wars: Darth Plagueis,James Luceno
Ethan Frome,Edith Wharton
Turbo Twenty-Three,Janet Evanovich
City of Heavenly Fire,Cassandra Clare
Hardline,Meredith Wild
Portrait of a Spy,Daniel Silva
Breakfast at Tiffany's,Truman Capote
Only the Good Spy Young,Ally Carter
Mine Till Midnight,Lisa Kleypas
Tortilla Flat,John Steinbeck
First King of Shannara,Terry Brooks
The Serpent's Shadow,Rick Riordan
The Lost Hero,Rick Riordan
When the Lion Feeds,Wilbur Smith
Brilliance,Marcus Sakey
Rabbit Redux,John Updike
Enchanters' End Game,David Eddings
Live by Night,Dennis Lehane
Paper Towns,John Green
Pleasure of a Dark Prince ,Kresley Cole
To Build a Fire,Jack London
Red Queen,Victoria Aveyard
Snow Like Ashes,Sara Raasch
The Last Don,Mario Puzo
A Hundred Summers,Beatriz Williams
The Bone Collector,Jeffery Deaver
The Broken Kingdoms,N.K. Jemisin
The Heretic's Daughter,Kathleen Kent
Storia della bruttezza,Umberto Eco
Damaged,Cathy Glass
Night Chills,Dean Koontz
Winter Street,Elin Hilderbrand
Await Your Reply,Dan Chaon
The Persian Pickle Club,Sandra Dallas
The Thousand Names,Django Wexler
My Soul to Save,Rachel Vincent
Saving Grace,Julie Garwood
A Knight in Shining Armor,Jude Deveraux
The Given Day,Dennis Lehane
If You Could See Me Now,Cecelia Ahern
Heir to the Shadows,Anne Bishop
inf,Sherrilyn Kenyon
Leaving Paradise,Simone Elkeles
Touch of Power,Maria V. Snyder
Personal,Lee Child
Enemy of God,Bernard Cornwell
Affinity,Sarah Waters
A God in Ruins,Kate Atkinson
The Mermaid Chair,Sue Monk Kidd
Sister,Rosamund Lupton
Covet,J.R. Ward
The Last Days of Dogtown,Anita Diamant
Arcadia,Lauren Groff
Lunar Park,Bret Easton Ellis
Sovereign ,C.J. Sansom
The Red Tent,Anita Diamant
Crocodile Tears,Anthony Horowitz
Runaway ,Meg Cabot
Children of Dune,Frank Herbert
The Girl in the Red Coat,Kate Hamer
Can You Keep a Secret?,Sophie Kinsella
Ride Steady,Kristen Ashley
Twilight,Meg Cabot
Stargirl,Jerry Spinelli
Revelation,C.J. Sansom
The Next Big Thing,Johanna Edwards
The Wisdom of Crowds,James Surowiecki
Matched,Ally Condie
Just Go to Bed,Mercer Mayer
A Year in Provence,Peter Mayle
Icefire,Chris d'Lacey
Significance,Shelly Crane
Looking for Alibrandi,Melina Marchetta
Playing for Keeps,R.L. Mathewson
Possession,A.S. Byatt
Moab Is My Washpot,Stephen Fry
Body Double,Tess Gerritsen
Independence Day,Richard Ford
Deception,Jonathan Kellerman
Life After Life,Kate Atkinson
A King's Ransom,Jude Watson
The Devil's Punchbowl,Greg Iles
The Law of Nines,Terry Goodkind
New Spring,Robert Jordan
Circle of Friends,Maeve Binchy
Moon Over Soho,Ben Aaronovitch
Heat Wave,Richard Castle
Friction,Sandra Brown
"Mary, Mary",James Patterson
Carrion Comfort,Dan Simmons
The Sea of Monsters,Rick Riordan
The Slap,Christos Tsiolkas
The Lone Drow,R.A. Salvatore
Grendel,John Gardner
The Panther,Nelson DeMille
Just a Mess (Look-Look),Mercer Mayer
Roses Are Red,James Patterson
Crown of Midnight,Sarah J. Maas
Testimony,Anita Shreve
The Weird Sisters,Eleanor Brown
Heart-Shaped Box,Joe Hill
Faithful Place,Tana French
Christ the Lord: Out of Egypt,Anne Rice
Pulp,Charles Bukowski
The Submission,Amy Waldman
Raven Rise,D.J. MacHale
Nesmrtelnost,Milan Kundera
Haunted,Meg Cabot
Another Brooklyn,Jacqueline Woodson
Splendor,Anna Godbersen
Point of Origin,Patricia Cornwell
The Demolished Man,Alfred Bester
Cover Her Face,P.D. James
The Druid of Shannara,Terry Brooks
Devil in a Blue Dress,Walter Mosley
Something About You,Julie James
Shalimar the Clown,Salman Rushdie
The House Girl,Tara Conklin
First Grave on the Right,Darynda Jones
Thorn Queen,Richelle Mead
Notes from a Big Country,Bill Bryson
The Princess Bride,William Goldman
At the Water's Edge,Sara Gruen
The Wandering Fire,Guy Gavriel Kay
The Celestine Prophecy,James Redfield
The Eternal Dawn,Christopher Pike
For Love of Evil,Piers Anthony
Going Solo,"Roald Dahl, Quentin Blake"
They Do it with Mirrors,Agatha Christie
Siege and Storm,Leigh Bardugo
A Bruxa de Portobello,Paulo Coelho
Save the Date,Mary Kay Andrews
The horse and his boy,C.S. Lewis
The White Tiger,Aravind Adiga
The Negotiator,Frederick Forsyth
Swan Song,Robert McCammon
The Hunt for Red October,Tom Clancy
Still Life,Louise Penny
Echo Park,Michael Connelly
"Lover Avenged, part two",J.R. Ward
Cold Days,Jim Butcher
Me & Emma,Elizabeth Flock
A Death In Vienna,Daniel Silva
The Glass Magician,Charlie N. Holmberg
Waylander ,David Gemmell
I've Got Your Number,Sophie Kinsella
Queen of Shadows,Sarah J. Maas
His Dark Materials,Philip Pullman
Forgotten,Cat Patrick
The Bone Season,Samantha Shannon
The Night is for Hunting,John Marsden
The Power of the Dog,Don Winslow
The Krishna Key,Ashwin Sanghi
Innocent,Scott Turow
Keeping Faith,Jodi Picoult
The Tombs of Atuan,Ursula K. Le Guin
The Wedding Dress,Rachel Hauck
Factotum,Charles Bukowski
Peeps,Scott Westerfeld
Romancing the Duke,Tessa Dare
Bed of Roses,Nora Roberts
The Good Girl,Mary Kubica
The Heart of the Matter,Graham Greene
Blessings,Anna Quindlen
Lucky Us,Amy Bloom
I Am Pilgrim,Terry Hayes
V is for Vengeance,Sue Grafton
Practice Makes Perfect,Julie James
The Silent Sister,Diane Chamberlain
HHhH,Laurent Binet
The Heart of Betrayal,Mary E. Pearson
Dream Team,Jack McCallum
The Christmas Box,Richard Paul Evans
Bet Me,Jennifer Crusie
The Crown,Kiera Cass
Changeless,Gail Carriger
Dispatches,Michael Herr
Skin Trade,Laurell K. Hamilton
The Darkest Seduction,Gena Showalter
The Grouchy Ladybug,Eric Carle
Tinkers,Paul Harding
Cold Sassy Tree,Olive Ann Burns
Where She Went,Gayle Forman
The Darkest Road,Guy Gavriel Kay
Dust of Dreams,Steven Erikson
The Sociopath Next Door,Martha Stout
The Kill Artist,Daniel Silva
City of Dragons,Robin Hobb
Map of Bones,James Rollins
Wish You Well,David Baldacci
The Black Dahlia,James Ellroy
News of the World,Paulette Jiles
Night Star,Alyson Noel
The Tale of Peter Rabbit,Beatrix Potter
Behind Closed Doors,B.A. Paris
Fire and Ice,Erin Hunter
The Last Song,Nicholas Sparks
Hopeless,Colleen Hoover
Elsewhere,Gabrielle Zevin
Fire,Kristin Cashore
Bumi Manusia,Pramoedya Ananta Toer
Exile ,R.A. Salvatore
Snuff,Terry Pratchett
Dead in the Family,Charlaine Harris
The Way of Shadows,Brent Weeks
Atlantis Found,Clive Cussler
Midwives,Chris Bohjalian
Geek Love,Katherine Dunn
An Untamed State,Roxane Gay
The Guns of Avalon,Roger Zelazny
Rising Sun,Michael Crichton
Empress of the World,Sara Ryan
The Good Lord Bird,James McBride
Sharpe's Tiger,Bernard Cornwell
Unless,Carol Shields
A Handful of Dust,Evelyn Waugh
Journal 64,Jussi Adler-Olsen
Lila,Marilynne Robinson
Altered Carbon,Richard K. Morgan
The Eternity Cure,Julie Kagawa
I Know This Much Is True ,Wally Lamb
Prince of Thorns,Mark  Lawrence
Hawaii,James A. Michener
Armada,Ernest Cline
Wicked Appetite,Janet Evanovich
Ozma of Oz,L. Frank Baum
Maisie Dobbs,Jacqueline Winspear
Catching Fire,Suzanne Collins
What My Mother Doesn't Know,Sonya Sones
Post Captain,Patrick O'Brian
The Road,Cormac McCarthy
Six Days of the Condor,James Grady
Filth,Irvine Welsh
Prodigy,Marie Lu
The 4-Hour Body,Timothy Ferriss
Arrow's Fall,Mercedes Lackey
Sybil,Flora Rheta Schreiber
Trojan Odyssey,Clive Cussler
Raised by Wolves,Jennifer Lynn Barnes
Pet Sematary,Stephen King
The Round House,Louise Erdrich
Love the One You're With,Emily Giffin
The Dragonriders of Pern,Anne McCaffrey
The Price of Salt,Patricia Highsmith
Deadeye Dick,Kurt Vonnegut Jr.
The Promise,Danielle Steel
Ticktock,Dean Koontz
Clariel: The Lost Abhorsen,Garth Nix
Rose Under Fire,Elizabeth Wein
On Liberty,John Stuart Mill
Up Country,Nelson DeMille
One Second After,William R. Forstchen
Down London Road,Samantha Young
The Third Wheel,Jeff Kinney
South of Broad,Pat Conroy
Station Eleven,Emily St. John Mandel
Wither,Lauren DeStefano
A Twist in the Tale,Jeffrey Archer
Ghosts of Onyx,Eric S. Nylund
Pivot Point,Kasie West
The Great Gatsby,F. Scott Fitzgerald
Coraline,Neil Gaiman
The Warrior Heir,Cinda Williams Chima
The Elves of Cintra ,Terry Brooks
Demon Thief,Darren Shan
Stolen Songbird,Danielle L. Jensen
Dark Lover,J.R. Ward
Whispers Under Ground,Ben Aaronovitch
"Good Night, Mr. Tom",Michelle Magorian
The Kitchen God's Wife,Amy Tan
Enna Burning,Shannon Hale
Mein Kampf,Adolf Hitler
Book of the Dead,Patricia Cornwell
The Hidden City,David Eddings
The Guardian,Dee Henderson
With a Tangled Skein,Piers Anthony
Rage of Angels,Sidney Sheldon
Petals on the Wind,V.C. Andrews
The Way of Kings,Brandon Sanderson
Pawn of Prophecy,David Eddings
Sourcery,Terry Pratchett
Red Country,Joe Abercrombie
Peace Child,Don Richardson
My Name Is Asher Lev,Chaim Potok
Wicked Nights,Gena Showalter
Sign of the Unicorn,Roger Zelazny
The Christmas List,Richard Paul Evans
Ship of Magic,Robin Hobb
Momo,Michael Ende
Rose Daughter,Robin McKinley
The Moving Finger,Agatha Christie
The Warlock,Michael Scott
Triptych,Karin Slaughter
Stealing Parker,Miranda Kenneally
Washington: A Life,Ron Chernow
The Very Hungry Caterpillar,Eric Carle
The Expats,Chris Pavone
Pope Joan,Donna Woolfolk Cross
The Flood,William C. Dietz
The Tell-Tale Heart,Edgar Allan Poe
Wildwood,"Colin Meloy, Carson Ellis"
The Areas of My Expertise,John Hodgman
Bleachers,John Grisham
Outer Dark,Cormac McCarthy
Frederica,Georgette Heyer
Er ist wieder da,Timur Vermes
Dragonquest,Anne McCaffrey
Audrey Rose,Frank De Felitta
Pattern Recognition,William Gibson
The Way of Zen,Alan W. Watts
True Believer,Nicholas Sparks
City of Glass,Cassandra Clare
Many Waters,Madeleine L'Engle
The Undomestic Goddess,Sophie Kinsella
Quentins,Maeve Binchy
The Lifeboat,Charlotte Rogan
East,Edith Pattou
Cross Bones,Kathy Reichs
A Caribbean Mystery,Agatha Christie
Three to Get Deadly,Janet Evanovich
The Nix,Nathan  Hill
Once,Anna Carey
Paladin of Souls,Lois McMaster Bujold
Black Magic Sanction,Kim Harrison
The First Wives Club,Olivia Goldsmith
Lost In Time,Melissa de la Cruz
A Wizard of Earthsea,Ursula K. Le Guin
Thief of Time,Terry Pratchett
The Sinner,Tess Gerritsen
Maurice,E.M. Forster
Round Ireland with a Fridge,Tony Hawks
The Quillan Games,D.J. MacHale
Point Blanc,Anthony Horowitz
Second Grave on the Left,Darynda Jones
Rubyfruit Jungle,Rita Mae Brown
Murder in Mesopotamia,Agatha Christie
Rocket Boys,Homer Hickam
Bluebeard,Kurt Vonnegut Jr.
The Elite,Kiera Cass
The Blue Bistro,Elin Hilderbrand
Mightier Than the Sword,Jeffrey Archer
The Outcasts,John Flanagan
House Rules,Jodi Picoult
Miss Rumphius,Barbara Cooney
O Monte Cinco,Paulo Coelho
Last Breath,Rachel Caine
Tangerine,"Edward Bloor, Danny De Vito"
About That Night,Julie James
The Laughing Corpse,Laurell K. Hamilton
Thirst No. 2,Christopher Pike
La Chute,"Albert Camus, Justin O'Brien"
The Emperor's Blades,Brian Staveley
The Silver Star,Jeannette Walls
The Story of an Hour,Kate Chopin
To the Nines,Janet Evanovich
The Dark And Hollow Places,Carrie Ryan
A Long Way Down,Nick Hornby
Knit Two,Kate Jacobs
The Vor Game,Lois McMaster Bujold
The Path to Power,Robert A. Caro
Frostbitten,Kelley Armstrong
Vinegar Hill (P.S.),A. Manette Ansay
My Favorite Mistake,Chelsea M. Cameron
Edge of Eternity,Ken Follett
The Moon and More,Sarah Dessen
Furiously Happy,Jenny  Lawson
The Innocent,David Baldacci
A Walk Across America,Peter Jenkins
Magician,Raymond E. Feist
The Prophet of Yonwood,Jeanne DuPrau
All Together Dead,Charlaine Harris
The Crimson Crown,Cinda Williams Chima
The River Why,David James Duncan
Wemberly Worried,Kevin Henkes
Eve,Anna Carey
Salt: A World History,Mark Kurlansky
Galileo's Daughter,Dava Sobel
The Quiet Game,Greg Iles
Bloody Bones,Laurell K. Hamilton
Flipped,Wendelin Van Draanen
Dune,Frank Herbert
The Dressmaker,Kate Alcott
This Charming Man,Marian Keyes
B is for Burglar,Sue Grafton
Hornet's Nest,Patricia Cornwell
Henry & Ramona,Cynthia J. McGean
The Winner's Kiss,Marie Rutkoski
Stolen,Kelley Armstrong
I Still Dream About You,Fannie Flagg
The Scarlet Pimpernel,Emmuska Orczy
Among Others,Jo Walton
The Secret,Rhonda Byrne
The Boy Next Door (Boy #1),Meg Cabot
Fade Out,Rachel Caine
Dearly Devoted Dexter,Jeff Lindsay
The Razor's Edge,W. Somerset Maugham
The Two Pearls of Wisdom,Alison Goodman
Startide Rising,David Brin
Finding Audrey,Sophie Kinsella
Dead Beat,Jim Butcher
Orientalism,Edward Said
The Lady in the Lake,Raymond Chandler
Winning,"Jack Welch, Suzy Welch"
You Can Win,Shiv Khera
Maitreyi,Mircea Eliade
The Aquitaine Progression,Robert Ludlum
Act of Treason,Vince Flynn
Life,Keith Richards
Damned,Chuck Palahniuk
Say Cheese and Die!,R.L. Stine
Absurdistan,Gary Shteyngart
Copper Sun,Sharon M. Draper
Skeletons at the Feast,Chris Bohjalian
Peril at End House,Agatha Christie
